epoch	loss
960	5.624896720782231e-02
961	5.624896701347699e-02
962	5.624896682143987e-02
963	5.624896663168285e-02
964	5.624896644417826e-02
965	5.624896625889873e-02
966	5.624896607581731e-02
967	5.624896589490726e-02
968	5.624896571614228e-02
969	5.624896553949628e-02
970	5.624896536494367e-02
971	5.624896519245897e-02
972	5.624896502201719e-02
973	5.624896485359354e-02
974	5.624896468716362e-02
975	5.624896452270325e-02
976	5.624896436018859e-02
977	5.624896419959614e-02
978	5.624896404090261e-02
979	5.624896388408503e-02
980	5.624896372912077e-02
981	5.624896357598738e-02
982	5.624896342466271e-02
983	5.624896327512502e-02
984	5.624896312735260e-02
985	5.624896298132424e-02
986	5.624896283701886e-02
987	5.624896269441563e-02
988	5.624896255349403e-02
989	5.624896241423386e-02
990	5.624896227661502e-02
991	5.624896214061775e-02
992	5.624896200622249e-02
993	5.624896187340999e-02
994	5.624896174216115e-02
995	5.624896161245715e-02
996	5.624896148427943e-02
997	5.624896135760962e-02
998	5.624896123242956e-02
999	5.624896110872137e-02
1000	5.624896098646734e-02
1001	5.624896086564996e-02
1002	5.624896074625209e-02
1003	5.624896062825653e-02
1004	5.624896051164655e-02
1005	5.624896039640546e-02
1006	5.624896028251684e-02
1007	5.624896016996453e-02
1008	5.624896005873242e-02
1009	5.624895994880472e-02
1010	5.624895984016582e-02
1011	5.624895973280024e-02
1012	5.624895962669275e-02
1013	5.624895952182827e-02
1014	5.624895941819193e-02
1015	5.624895931576901e-02
1016	5.624895921454498e-02
1017	5.624895911450555e-02
1018	5.624895901563651e-02
1019	5.624895891792388e-02
1020	5.624895882135387e-02
1021	5.624895872591282e-02
1022	5.624895863158715e-02
1023	5.624895853836367e-02
1024	5.624895844622919e-02
1025	5.624895835517064e-02
1026	5.624895826517527e-02
1027	5.624895817623035e-02
1028	5.624895808832334e-02
1029	5.624895800144192e-02
1030	5.624895791557387e-02
1031	5.624895783070701e-02
1032	5.624895774682952e-02
1033	5.624895766392961e-02
1034	5.624895758199561e-02
1035	5.624895750101604e-02
1036	5.624895742097950e-02
1037	5.624895734187485e-02
1038	5.624895726369096e-02
1039	5.624895718641688e-02
1040	5.624895711004185e-02
1041	5.624895703455511e-02
1042	5.624895695994616e-02
1043	5.624895688620454e-02
1044	5.624895681332002e-02
1045	5.624895674128234e-02
1046	5.624895667008151e-02
1047	5.624895659970762e-02
1048	5.624895653015081e-02
1049	5.624895646140142e-02
1050	5.624895639344987e-02
1051	5.624895632628669e-02
1052	5.624895625990261e-02
1053	5.624895619428834e-02
1054	5.624895612943479e-02
1055	5.624895606533292e-02
1056	5.624895600197388e-02
1057	5.624895593934886e-02
1058	5.624895587744923e-02
1059	5.624895581626632e-02
1060	5.624895575579173e-02
1061	5.624895569601707e-02
1062	5.624895563693408e-02
1063	5.624895557853454e-02
1064	5.624895552081047e-02
1065	5.624895546375384e-02
1066	5.624895540735676e-02
1067	5.624895535161148e-02
1068	5.624895529651034e-02
